label	message	length	message_clean_tokens	message_clean
0	Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...	111	['go', 'jurong', 'point', 'crazi', 'avail', 'bugi', 'great', 'world', 'buffet', 'got', 'amor']	go jurong point crazi avail bugi great world buffet got amor
0	Ok lar... Joking wif u oni...	29	['ok', 'lar', 'joke', 'wif']	ok lar joke wif
1	Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's	155	['free', 'entri', 'wkli', 'comp', 'win', 'fa', 'cup', 'final', 'tkts', 'may', 'text', 'fa', 'receiv', 'entri', 'questionstd', 'txt', 'ratetc', 'appli']	free entri wkli comp win fa cup final tkts may text fa receiv entri questionstd txt ratetc appli
0	U dun say so early hor... U c already then say...	49	['dun', 'say', 'earli', 'hor', 'alreadi', 'say']	dun say earli hor alreadi say
0	Nah I don't think he goes to usf, he lives around here though	61	['dont', 'think', 'goe', 'usf', 'live', 'around', 'though']	dont think goe usf live around though
1	FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv	148	['freemsg', 'hey', 'darl', 'week', 'word', 'back', 'id', 'like', 'fun', 'still', 'tb', 'ok', 'xxx', 'std', 'chgs', 'send', 'å£', 'rcv']	freemsg hey darl week word back id like fun still tb ok xxx std chgs send å£ rcv
0	Even my brother is not like to speak with me. They treat me like aids patent.	77	['even', 'brother', 'like', 'speak', 'treat', 'like', 'aid', 'patent']	even brother like speak treat like aid patent
0	As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune	160	['request', 'mell', 'mell', 'oru', 'minnaminungint', 'nurungu', 'vettam', 'set', 'callertun', 'caller', 'press', 'copi', 'friend', 'callertun']	request mell mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun
1	WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.	158	['winner', 'valu', 'network', 'custom', 'select', 'receivea', 'å£', 'prize', 'reward', 'claim', 'call', 'claim', 'code', 'valid', 'hour']	winner valu network custom select receivea å£ prize reward claim call claim code valid hour
1	Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030	154	['mobil', 'month', 'r', 'entitl', 'updat', 'latest', 'colour', 'mobil', 'camera', 'free', 'call', 'mobil', 'updat', 'co', 'free']	mobil month r entitl updat latest colour mobil camera free call mobil updat co free
0	I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.	109	['gon', 'home', 'soon', 'dont', 'talk', 'stuff', 'anymor', 'tonight', 'ive', 'cri', 'enough', 'today']	gon home soon dont talk stuff anymor tonight ive cri enough today
1	SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info	136	['six', 'chanc', 'win', 'cash', 'pound', 'txt', 'send', 'cost', 'tsandc', 'appli', 'repli', 'hl', 'info']	six chanc win cash pound txt send cost tsandc appli repli hl info
1	URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18	156	['urgent', 'week', 'free', 'membership', 'å£', 'prize', 'jackpot', 'txt', 'word', 'claim', 'tc', 'lccltd', 'pobox']	urgent week free membership å£ prize jackpot txt word claim tc lccltd pobox
0	I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.	196	['ive', 'search', 'right', 'word', 'thank', 'breather', 'promis', 'wont', 'help', 'grant', 'fulfil', 'promis', 'wonder', 'bless', 'time']	ive search right word thank breather promis wont help grant fulfil promis wonder bless time
0	I HAVE A DATE ON SUNDAY WITH WILL!!	35	['date', 'sunday']	date sunday
1	XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL	149	['xxxmobilemovieclub', 'use', 'credit', 'click', 'wap', 'link', 'next', 'txt', 'messag', 'click', 'xxxmobilemovieclubcomnqjkgighjjgcbl']	xxxmobilemovieclub use credit click wap link next txt messag click xxxmobilemovieclubcomnqjkgighjjgcbl
0	Oh k...i'm watching here:)	26	['oh', 'watch']	oh watch
0	Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.	81	['eh', 'rememb', 'spell', 'yes', 'naughti', 'make', 'wet']	eh rememb spell yes naughti make wet
0	Fine if thatåÕs the way u feel. ThatåÕs the way its gota b	58	['fine', 'thatåõ', 'way', 'feel', 'thatåõ', 'way', 'gota', 'b']	fine thatåõ way feel thatåõ way gota b
1	England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+	156	['england', 'macedonia', 'dont', 'miss', 'goalsteam', 'news', 'txt', 'ur', 'nation', 'team', 'england', 'trywal', 'scotland']	england macedonia dont miss goalsteam news txt ur nation team england trywal scotland
0	Is that seriously how you spell his name?	41	['serious', 'spell']	serious spell
0	IÛ÷m going to try for 2 months ha ha only joking	49	['i\x89û÷m', 'go', 'tri', 'month', 'joke']	iû÷m go tri month joke
